,recommendation_set_id,user_id,session_id,query_identifier,query_word_count,query_char_count,query_detected_language,query_document_id,document_language_provided,year_published,number_of_authors,abstract_word_count,abstract_char_count,abstract_detected_language,first_author_id,num_pubs_by_first_author,organization_id,application_type,item_type,request_received,hour_request_received,response_delivered,rec_processing_time,app_version,app_lang,user_os,user_os_version,user_java_version,user_timezone,country_by_ip,timezone_by_ip,local_time_of_request,local_hour_of_request,number_of_recs_in_set,recommendation_algorithm_id_used,algorithm_class,cbf_parser,search_title,search_keywords,search_abstract,time_recs_recieved,time_recs_displayed,time_recs_viewed,clicks,ctr,set_clicked
83740,134641,\N,\N,Withheld for privacy,2,12,en,4316235,\N,2002,1,\N,\N,\N,1937378,57,1,digital_library,academic_publication,07/03/2019 21:42,21,07/03/2019 21:42,0.6791010000000001,4.3.1,en,\N,\N,\N,\N,DE,100,07/03/2019 21:42,21,7,8,content_based_filtering,standard_QP,yes,yes,yes,\N,\N,\N,3,0.4286,1
83756,134681,\N,\N,Withheld for privacy,8,63,it,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,07/03/2019 22:13,22,07/03/2019 22:13,9.83283,4.3.1,en,\N,\N,\N,\N,US,-700,07/03/2019 14:13,14,7,8,content_based_filtering,standard_QP,yes,yes,yes,\N,\N,\N,1,0.1429,1
83774,134704,\N,\N,Withheld for privacy,5,50,de,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,07/03/2019 22:53,22,07/03/2019 22:53,0.187494,4.3.1,en,\N,\N,\N,\N,DE,100,07/03/2019 22:53,22,7,8,content_based_filtering,standard_QP,yes,yes,yes,\N,\N,\N,1,0.1429,1
83782,134712,\N,\N,Withheld for privacy,5,37,en,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,07/03/2019 23:08,23,07/03/2019 23:08,1.39462,4.3.1,en,\N,\N,\N,\N,DE,100,07/03/2019 23:08,23,7,11,content_based_filtering,edismax_QP,yes,no,no,\N,\N,\N,1,0.1429,1
83844,134774,\N,\N,Withheld for privacy,5,43,en,11456360,\N,2017,3,37,258,en,578234,130,1,digital_library,academic_publication,08/03/2019 01:22,1,08/03/2019 01:22,1.8272400000000002,4.3.1,en,\N,\N,\N,\N,US,-500,07/03/2019 19:22,19,7,2,content_based_filtering,edismax_QP,yes,yes,no,\N,\N,\N,1,0.1429,1
83864,134794,\N,\N,Withheld for privacy,7,43,en,19581579,\N,2005,6,155,965,en,12248041,1,1,digital_library,academic_publication,08/03/2019 03:22,3,08/03/2019 03:22,1.8235299999999999,4.3.1,en,\N,\N,\N,\N,SG,800,08/03/2019 10:22,10,7,2,content_based_filtering,edismax_QP,yes,yes,no,\N,\N,\N,2,0.2857,1
83896,134826,\N,\N,Withheld for privacy,21,136,en,80122778,\N,2012,2,\N,\N,\N,1049590,901,1,digital_library,academic_publication,08/03/2019 05:54,5,08/03/2019 05:54,5.00171,4.3.1,en,\N,\N,\N,\N,JP,900,08/03/2019 13:54,13,7,2,content_based_filtering,edismax_QP,yes,yes,no,\N,\N,\N,2,0.2857,1
84024,134959,\N,\N,Withheld for privacy,13,111,en,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,08/03/2019 10:16,10,08/03/2019 10:16,2.08229,4.3.1,en,\N,\N,\N,\N,MY,800,08/03/2019 17:16,17,7,2,content_based_filtering,edismax_QP,yes,yes,no,\N,\N,\N,2,0.2857,1
84028,134963,\N,\N,Withheld for privacy,6,44,en,65118119,\N,2016,1,154,1045,en,20770870,1,1,digital_library,academic_publication,08/03/2019 10:19,10,08/03/2019 10:19,0.671614,4.3.1,en,\N,\N,\N,\N,DE,100,08/03/2019 10:19,10,7,1,content_based_filtering,standard_QP,yes,no,no,\N,\N,\N,4,0.5714,1
84117,135053,\N,\N,Withheld for privacy,13,101,en,12592430,\N,2012,2,116,774,en,6423862,1,1,digital_library,academic_publication,08/03/2019 11:41,11,08/03/2019 11:41,2.363,4.3.1,en,\N,\N,\N,\N,JP,900,08/03/2019 19:41,19,7,21,sentence_embeddings,\N,no,no,no,\N,\N,\N,3,0.4286,1
84166,135103,\N,\N,Withheld for privacy,9,53,en,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,08/03/2019 12:25,12,08/03/2019 12:25,4.30811,4.3.1,en,\N,\N,\N,\N,AT,100,08/03/2019 12:25,12,7,2,content_based_filtering,edismax_QP,yes,yes,no,\N,\N,\N,1,0.1429,1
84249,135189,\N,\N,Withheld for privacy,17,95,en,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,08/03/2019 13:43,13,08/03/2019 13:43,3.83057,4.3.1,en,\N,\N,\N,\N,ES,\N,\N,\N,7,2,content_based_filtering,edismax_QP,yes,yes,no,\N,\N,\N,1,0.1429,1
84359,135302,\N,\N,Withheld for privacy,6,44,en,12186826,\N,2008,1,232,1470,en,1777820,40,1,digital_library,academic_publication,08/03/2019 15:17,15,08/03/2019 15:18,6.65344,4.3.1,it,\N,\N,\N,\N,IT,100,08/03/2019 15:17,15,7,8,content_based_filtering,standard_QP,yes,yes,yes,\N,\N,\N,1,0.1429,1
84406,135351,\N,\N,Withheld for privacy,5,30,en,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,08/03/2019 16:00,16,08/03/2019 16:00,1.76515,4.3.1,en,\N,\N,\N,\N,CH,100,08/03/2019 16:00,16,7,21,sentence_embeddings,\N,no,no,no,\N,\N,\N,2,0.2857,1
84412,135357,\N,\N,Withheld for privacy,11,73,en,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,08/03/2019 16:02,16,08/03/2019 16:02,0.306385,4.3.1,en,\N,\N,\N,\N,NO,100,08/03/2019 16:02,16,7,1,content_based_filtering,standard_QP,yes,no,no,\N,\N,\N,1,0.1429,1
84429,135375,\N,\N,Withheld for privacy,11,66,en,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,08/03/2019 16:22,16,08/03/2019 16:23,6.01816,4.3.1,en,\N,\N,\N,\N,NO,100,08/03/2019 16:22,16,7,2,content_based_filtering,edismax_QP,yes,yes,no,\N,\N,\N,1,0.1429,1
84519,135466,\N,\N,Withheld for privacy,3,46,de,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,08/03/2019 18:31,18,08/03/2019 18:31,2.60033,4.3.1,en,\N,\N,\N,\N,DE,100,08/03/2019 18:31,18,7,11,content_based_filtering,edismax_QP,yes,no,no,\N,\N,\N,2,0.2857,1
84531,135480,\N,\N,Withheld for privacy,11,94,en,9099746,\N,2013,4,129,933,en,4148513,1,1,digital_library,academic_publication,08/03/2019 18:52,18,08/03/2019 18:52,4.34943,4.3.1,en,\N,\N,\N,\N,BR,\N,\N,\N,7,21,sentence_embeddings,\N,no,no,no,\N,\N,\N,1,0.1429,1
84535,135484,\N,\N,Withheld for privacy,11,94,en,9099746,\N,2013,4,129,933,en,4148513,1,1,digital_library,academic_publication,08/03/2019 18:53,18,08/03/2019 18:53,7.99182,4.3.1,en,\N,\N,\N,\N,BR,\N,\N,\N,7,7,content_based_filtering,standard_QP,yes,yes,no,\N,\N,\N,2,0.2857,1
84588,135542,\N,\N,Withheld for privacy,9,55,en,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,08/03/2019 20:33,20,08/03/2019 20:33,4.43684,4.3.1,en,\N,\N,\N,\N,IE,0,08/03/2019 19:33,19,7,7,content_based_filtering,standard_QP,yes,yes,no,\N,\N,\N,4,0.5714,1
84605,135559,\N,\N,Withheld for privacy,4,23,en,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,08/03/2019 20:54,20,08/03/2019 20:54,0.727557,4.3.1,en,\N,\N,\N,\N,GB,0,08/03/2019 19:54,19,7,21,sentence_embeddings,\N,no,no,no,\N,\N,\N,1,0.1429,1
84639,135595,\N,\N,Withheld for privacy,8,64,en,11323102,\N,2015,1,102,685,en,776331,157,1,digital_library,academic_publication,08/03/2019 23:02,23,08/03/2019 23:02,2.33866,4.3.1,en,\N,\N,\N,\N,US,-600,08/03/2019 16:02,16,7,2,content_based_filtering,edismax_QP,yes,yes,no,\N,\N,\N,2,0.2857,1
84667,135623,\N,\N,Withheld for privacy,3,17,en,50698629,\N,\N,4,13,120,en,19236594,3,1,digital_library,academic_publication,09/03/2019 00:46,0,09/03/2019 00:46,0.21296700000000002,4.3.1,en,\N,\N,\N,\N,DE,100,09/03/2019 00:46,0,7,7,content_based_filtering,standard_QP,yes,yes,no,\N,\N,\N,2,0.2857,1
84697,135653,\N,\N,Withheld for privacy,6,59,ca,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,09/03/2019 04:11,4,09/03/2019 04:11,1.9807099999999997,4.3.1,en,\N,\N,\N,\N,CN,800,09/03/2019 11:11,11,7,5,stereotype,\N,no,no,no,\N,\N,\N,1,0.1429,1
84754,135711,\N,\N,Withheld for privacy,7,51,en,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,09/03/2019 09:08,9,09/03/2019 09:08,2.66547,4.3.1,zh,\N,\N,\N,\N,CN,800,09/03/2019 16:08,16,7,2,content_based_filtering,edismax_QP,yes,yes,no,\N,\N,\N,1,0.1429,1
84808,135768,\N,\N,Withheld for privacy,7,63,en,62893473,\N,2005,1,102,703,en,19840181,26,1,digital_library,academic_publication,09/03/2019 11:08,11,09/03/2019 11:08,0.47098,4.3.1,en,\N,\N,\N,\N,IL,200,09/03/2019 12:08,12,7,2,content_based_filtering,edismax_QP,yes,yes,no,\N,\N,\N,1,0.1429,1
84816,135776,\N,\N,Withheld for privacy,4,28,de,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,09/03/2019 11:21,11,09/03/2019 11:21,0.35733400000000004,4.3.1,en,\N,\N,\N,\N,BY,300,09/03/2019 13:21,13,7,14,content_based_filtering,edismax_QP,yes,no,yes,\N,\N,\N,1,0.1429,1
84851,135811,\N,\N,Withheld for privacy,12,87,en,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,09/03/2019 12:36,12,09/03/2019 12:36,3.77935,4.3.1,en,\N,\N,\N,\N,PT,0,09/03/2019 11:36,11,7,2,content_based_filtering,edismax_QP,yes,yes,no,\N,\N,\N,1,0.1429,1
84857,135817,\N,\N,Withheld for privacy,10,82,en,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,09/03/2019 12:39,12,09/03/2019 12:39,2.99268,4.3.1,en,\N,\N,\N,\N,DK,100,09/03/2019 12:39,12,7,21,sentence_embeddings,\N,no,no,no,\N,\N,\N,4,0.5714,1
84996,135966,\N,\N,Withheld for privacy,1,7,de,3730453,\N,2012,1,99,660,it,1691060,2,1,digital_library,academic_publication,09/03/2019 15:34,15,09/03/2019 15:34,0.0582075,4.3.1,de,\N,\N,\N,\N,DE,100,09/03/2019 15:34,15,7,9,content_based_filtering,mlt_QP,yes,yes,no,\N,\N,\N,1,0.1429,1
85019,135989,\N,\N,Withheld for privacy,12,90,en,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,09/03/2019 16:11,16,09/03/2019 16:11,3.12899,4.3.1,en,\N,\N,\N,\N,NO,100,09/03/2019 16:11,16,7,21,sentence_embeddings,\N,no,no,no,\N,\N,\N,3,0.4286,1
85081,136051,\N,\N,Withheld for privacy,14,80,de,71904108,\N,2012,1,\N,\N,\N,5656986,28,1,digital_library,academic_publication,09/03/2019 17:19,17,09/03/2019 17:19,3.12609,4.3.1,en,\N,\N,\N,\N,CH,100,09/03/2019 17:19,17,7,9,content_based_filtering,mlt_QP,yes,yes,no,\N,\N,\N,1,0.1429,1
85140,136111,\N,\N,Withheld for privacy,13,85,pt,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,09/03/2019 19:15,19,09/03/2019 19:15,0.883918,4.3.1,en,\N,\N,\N,\N,BR,\N,\N,\N,7,1,content_based_filtering,standard_QP,yes,no,no,\N,\N,\N,1,0.1429,1
85151,136123,\N,\N,Withheld for privacy,14,93,en,20289330,\N,1995,3,\N,\N,\N,6272632,26,1,digital_library,academic_publication,09/03/2019 19:33,19,09/03/2019 19:33,3.49393,4.3.1,en,\N,\N,\N,\N,JP,900,10/03/2019 03:33,3,7,2,content_based_filtering,edismax_QP,yes,yes,no,\N,\N,\N,1,0.1429,1
85165,136153,\N,\N,Withheld for privacy,11,85,en,20684639,\N,2006,1,272,1726,en,12794569,1,1,digital_library,academic_publication,09/03/2019 19:52,19,09/03/2019 19:52,1.5878700000000001,4.3.1,en,\N,\N,\N,\N,AT,100,09/03/2019 19:52,19,7,12,content_based_filtering,edismax_QP,yes,yes,yes,\N,\N,\N,1,0.1429,1
85209,136208,\N,\N,Withheld for privacy,10,72,es,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,09/03/2019 21:04,21,09/03/2019 21:04,2.5994599999999997,4.3.1,en,\N,\N,\N,\N,AT,100,09/03/2019 21:04,21,7,21,sentence_embeddings,\N,no,no,no,\N,\N,\N,1,0.1429,1
85214,136213,\N,\N,Withheld for privacy,4,30,ca,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,09/03/2019 21:12,21,09/03/2019 21:12,1.2122600000000001,4.3.1,en,\N,\N,\N,\N,ES,100,09/03/2019 21:12,21,7,13,content_based_filtering,standard_QP,yes,no,yes,\N,\N,\N,1,0.1429,1
85251,136250,\N,\N,Withheld for privacy,7,62,en,10998543,en,2012,3,235,1601,en,2763341,48,1,digital_library,academic_publication,09/03/2019 22:31,22,09/03/2019 22:31,2.1013,4.3.1,en,\N,\N,\N,\N,DE,100,09/03/2019 22:31,22,7,21,sentence_embeddings,\N,no,no,no,\N,\N,\N,1,0.1429,1
85391,136396,\N,\N,Withheld for privacy,2,14,en,12633606,\N,2012,\N,165,998,en,\N,\N,1,digital_library,academic_publication,10/03/2019 08:34,8,10/03/2019 08:34,0.0458159,4.3.1,en,\N,\N,\N,\N,IN,530,10/03/2019 13:04,13,7,3,stereotype,\N,no,no,no,\N,\N,\N,1,0.1429,1
85496,136503,\N,\N,Withheld for privacy,6,49,en,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,10/03/2019 11:31,11,10/03/2019 11:31,2.2053,4.3.1,en,\N,\N,\N,\N,AT,100,10/03/2019 11:31,11,7,21,sentence_embeddings,\N,no,no,no,\N,\N,\N,1,0.1429,1
85656,136667,\N,\N,Withheld for privacy,19,144,de,97871,\N,2007,1,\N,\N,\N,148643,15,1,digital_library,academic_publication,10/03/2019 14:36,14,10/03/2019 14:36,0.121323,4.3.1,de,\N,\N,\N,\N,DE,\N,\N,\N,7,1,content_based_filtering,standard_QP,yes,no,no,\N,\N,\N,1,0.1429,1
85668,136680,\N,\N,Withheld for privacy,5,36,ro,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,10/03/2019 15:01,15,10/03/2019 15:01,1.73032,4.3.1,de,\N,\N,\N,\N,DE,100,10/03/2019 15:01,15,7,21,sentence_embeddings,\N,no,no,no,\N,\N,\N,1,0.1429,1
85684,136696,\N,\N,Withheld for privacy,6,44,en,66102027,\N,2016,\N,957,6432,en,\N,\N,1,digital_library,academic_publication,10/03/2019 15:19,15,10/03/2019 15:19,1.9065299999999998,4.3.1,en,\N,\N,\N,\N,US,-400,10/03/2019 10:19,10,7,21,sentence_embeddings,\N,no,no,no,\N,\N,\N,2,0.2857,1
85731,136743,\N,\N,Withheld for privacy,8,55,de,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,10/03/2019 16:18,16,10/03/2019 16:18,0.254778,4.3.1,en,\N,\N,\N,\N,DE,\N,\N,\N,7,11,content_based_filtering,edismax_QP,yes,no,no,\N,\N,\N,1,0.1429,1
85746,136758,\N,\N,Withheld for privacy,10,82,en,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,10/03/2019 16:28,16,10/03/2019 16:28,2.12921,4.3.1,en,\N,\N,\N,\N,DE,100,10/03/2019 16:28,16,7,11,content_based_filtering,edismax_QP,yes,no,no,\N,\N,\N,1,0.1429,1
85753,136765,\N,\N,Withheld for privacy,3,32,de,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,10/03/2019 16:36,16,10/03/2019 16:36,0.09175900000000001,4.3.1,de,\N,\N,\N,\N,DE,100,10/03/2019 16:36,16,7,12,content_based_filtering,edismax_QP,yes,yes,yes,\N,\N,\N,1,0.1429,1
85843,136855,\N,\N,Withheld for privacy,3,26,en,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,10/03/2019 18:13,18,10/03/2019 18:13,0.177224,4.3.1,en,\N,\N,\N,\N,ES,100,10/03/2019 18:13,18,7,7,content_based_filtering,standard_QP,yes,yes,no,\N,\N,\N,1,0.1429,1
85871,136883,\N,\N,Withheld for privacy,20,127,en,117460591,\N,2015,7,\N,\N,\N,\N,\N,1,digital_library,academic_publication,10/03/2019 18:36,18,10/03/2019 18:36,7.53207,4.3.1,en,\N,\N,\N,\N,IN,530,10/03/2019 23:06,23,7,2,content_based_filtering,edismax_QP,yes,yes,no,\N,\N,\N,1,0.1429,1
85898,136910,\N,\N,Withheld for privacy,3,30,en,15073294,\N,2009,2,5,30,nl,1095627,827,1,digital_library,academic_publication,10/03/2019 19:28,19,10/03/2019 19:28,1.12727,4.3.1,en,\N,\N,\N,\N,GB,0,10/03/2019 18:28,18,7,21,sentence_embeddings,\N,no,no,no,\N,\N,\N,1,0.1429,1
86001,137014,\N,\N,Withheld for privacy,1,12,en,13113781,\N,2007,9,137,833,en,7058853,1,1,digital_library,academic_publication,10/03/2019 21:50,21,10/03/2019 21:50,0.135477,4.3.1,en,\N,\N,\N,\N,NL,100,10/03/2019 21:50,21,7,1,content_based_filtering,standard_QP,yes,no,no,\N,\N,\N,2,0.2857,1
86009,137022,\N,\N,Withheld for privacy,6,68,de,71008899,de,2006,1,\N,\N,\N,2281142,13,1,digital_library,academic_publication,10/03/2019 22:09,22,10/03/2019 22:09,0.408468,4.3.1,en,\N,\N,\N,\N,DE,\N,\N,\N,7,1,content_based_filtering,standard_QP,yes,no,no,\N,\N,\N,1,0.1429,1
86011,137024,\N,\N,Withheld for privacy,1,11,de,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,10/03/2019 22:11,22,10/03/2019 22:11,0.19434200000000001,4.3.1,en,\N,\N,\N,\N,DE,\N,\N,\N,7,21,sentence_embeddings,\N,no,no,no,\N,\N,\N,2,0.2857,1
86015,137028,\N,\N,Withheld for privacy,4,39,en,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,10/03/2019 22:13,22,10/03/2019 22:13,1.57186,4.3.1,en,\N,\N,\N,\N,DE,\N,\N,\N,7,12,content_based_filtering,edismax_QP,yes,yes,yes,\N,\N,\N,1,0.1429,1
86016,137029,\N,\N,Withheld for privacy,10,73,en,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,10/03/2019 22:14,22,10/03/2019 22:14,2.94979,4.2,en,\N,\N,\N,\N,CH,100,10/03/2019 22:14,22,7,14,content_based_filtering,edismax_QP,yes,no,yes,\N,\N,\N,1,0.1429,1
86129,137147,\N,\N,Withheld for privacy,13,89,en,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,11/03/2019 02:19,2,11/03/2019 02:19,4.06635,4.3.1,pt_BR,\N,\N,\N,\N,BR,-300,10/03/2019 22:19,22,7,2,content_based_filtering,edismax_QP,yes,yes,no,\N,\N,\N,1,0.1429,1
86203,137222,\N,\N,Withheld for privacy,21,124,en,11692966,\N,2017,1,84,546,en,3095474,128,1,digital_library,academic_publication,11/03/2019 06:40,6,11/03/2019 06:40,0.320461,4.3.1,en,\N,\N,\N,\N,CN,800,11/03/2019 13:40,13,7,1,content_based_filtering,standard_QP,yes,no,no,\N,\N,\N,1,0.1429,1
86220,137239,\N,\N,Withheld for privacy,5,44,en,11027933,en,2004,1,70,483,en,2216092,283,1,digital_library,academic_publication,11/03/2019 07:28,7,11/03/2019 07:28,0.068455,4.3.1,en,\N,\N,\N,\N,DE,100,11/03/2019 07:28,7,7,23,same_author,\N,no,no,no,\N,\N,\N,1,0.1429,1
86318,137354,\N,\N,Withheld for privacy,18,134,en,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,11/03/2019 09:49,9,11/03/2019 09:49,4.23359,4.3.1,en,\N,\N,\N,\N,CH,100,11/03/2019 09:49,9,7,21,sentence_embeddings,\N,no,no,no,\N,\N,\N,1,0.1429,1
86418,137462,\N,\N,Withheld for privacy,11,85,en,16404230,\N,2016,4,101,706,en,10318252,1,1,digital_library,academic_publication,11/03/2019 11:20,11,11/03/2019 11:20,0.165745,4.3.1,en,\N,\N,\N,\N,ES,100,11/03/2019 11:20,11,7,21,sentence_embeddings,\N,no,no,no,\N,\N,\N,1,0.1429,1
86437,137481,\N,\N,Withheld for privacy,12,87,en,16598630,\N,2016,4,135,873,en,3480794,49,1,digital_library,academic_publication,11/03/2019 11:33,11,11/03/2019 11:33,3.0727700000000002,4.3.1,en,\N,\N,\N,\N,ES,100,11/03/2019 11:33,11,7,2,content_based_filtering,edismax_QP,yes,yes,no,\N,\N,\N,2,0.2857,1
86445,137490,\N,\N,Withheld for privacy,12,101,en,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,11/03/2019 11:45,11,11/03/2019 11:45,7.88132,4.3.1,en,\N,\N,\N,\N,DE,100,11/03/2019 11:45,11,7,7,content_based_filtering,standard_QP,yes,yes,no,\N,\N,\N,1,0.1429,1
86475,137521,\N,\N,Withheld for privacy,12,101,de,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,11/03/2019 12:11,12,11/03/2019 12:11,0.42579300000000003,4.3.1,en,\N,\N,\N,\N,DE,100,11/03/2019 12:11,12,7,21,sentence_embeddings,\N,no,no,no,\N,\N,\N,1,0.1429,1
86477,137523,\N,\N,Withheld for privacy,4,24,de,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,11/03/2019 12:11,12,11/03/2019 12:11,0.171823,4.3.1,en,\N,\N,\N,\N,DE,100,11/03/2019 12:11,12,7,11,content_based_filtering,edismax_QP,yes,no,no,\N,\N,\N,2,0.2857,1
86507,137555,\N,\N,Withheld for privacy,7,51,en,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,11/03/2019 12:27,12,11/03/2019 12:27,3.12567,4.3.1,en,\N,\N,\N,\N,ES,100,11/03/2019 12:27,12,7,2,content_based_filtering,edismax_QP,yes,yes,no,\N,\N,\N,1,0.1429,1
86541,137592,\N,\N,Withheld for privacy,21,137,es,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,11/03/2019 12:57,12,11/03/2019 12:58,3.47955,4.3.1,en,\N,\N,\N,\N,ES,100,11/03/2019 12:57,12,7,14,content_based_filtering,edismax_QP,yes,no,yes,\N,\N,\N,1,0.1429,1
86565,137618,\N,\N,Withheld for privacy,7,44,en,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,11/03/2019 13:22,13,11/03/2019 13:22,2.04755,4.3.1,en,\N,\N,\N,\N,AT,100,11/03/2019 13:22,13,7,5,stereotype,\N,no,no,no,\N,\N,\N,1,0.1429,1
86602,137657,\N,\N,Withheld for privacy,12,103,en,13422985,\N,2010,2,153,1048,en,3209913,96,1,digital_library,academic_publication,11/03/2019 13:46,13,11/03/2019 13:46,4.96194,4.3.1,de,\N,\N,\N,\N,DE,\N,\N,\N,7,21,sentence_embeddings,\N,no,no,no,\N,\N,\N,1,0.1429,1
86701,137756,\N,\N,Withheld for privacy,6,35,en,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,11/03/2019 14:54,14,11/03/2019 14:54,2.02664,4.3.1,en,\N,\N,\N,\N,CN,800,11/03/2019 21:54,21,7,21,sentence_embeddings,\N,no,no,no,\N,\N,\N,1,0.1429,1
86880,137981,\N,\N,Withheld for privacy,11,76,en,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,11/03/2019 18:31,18,11/03/2019 18:31,2.1219200000000003,4.3.1,en,\N,\N,\N,\N,SG,800,12/03/2019 01:31,1,7,21,sentence_embeddings,\N,no,no,no,\N,\N,\N,2,0.2857,1
86942,138044,\N,\N,Withheld for privacy,11,65,en,63121940,\N,2010,1,\N,\N,\N,19935863,9,1,digital_library,academic_publication,11/03/2019 20:06,20,11/03/2019 20:06,1.8299599999999998,4.3.1,en,\N,\N,\N,\N,DK,100,11/03/2019 20:06,20,7,23,same_author,\N,no,no,no,\N,\N,\N,1,0.1429,1
87017,138132,\N,\N,Withheld for privacy,4,30,en,48142338,\N,2014,1,2,35,no,53791,2439,1,digital_library,academic_publication,11/03/2019 22:14,22,11/03/2019 22:14,1.65419,4.3.1,en,\N,\N,\N,\N,PL,100,11/03/2019 22:14,22,7,2,content_based_filtering,edismax_QP,yes,yes,no,\N,\N,\N,2,0.2857,1
87094,138209,\N,\N,Withheld for privacy,10,82,en,48388415,\N,2015,3,168,1163,en,5603692,21,1,digital_library,academic_publication,12/03/2019 00:26,0,12/03/2019 00:26,4.59928,4.3.1,en,\N,\N,\N,\N,PT,0,11/03/2019 23:26,23,7,14,content_based_filtering,edismax_QP,yes,no,yes,\N,\N,\N,1,0.1429,1
87123,138239,\N,\N,Withheld for privacy,4,30,en,218069,\N,2005,4,\N,\N,\N,126725,123,1,digital_library,academic_publication,12/03/2019 01:40,1,12/03/2019 01:40,0.930365,4.3.1,en,\N,\N,\N,\N,US,-700,11/03/2019 17:40,17,1,6,content_based_filtering,mlt_QP,yes,no,no,\N,\N,\N,1,1.0,1
87167,138284,\N,\N,Withheld for privacy,5,31,en,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,12/03/2019 02:23,2,12/03/2019 02:23,1.6117,4.3.1,en,\N,\N,\N,\N,PT,0,12/03/2019 01:23,1,7,14,content_based_filtering,edismax_QP,yes,no,yes,\N,\N,\N,1,0.1429,1
87191,138309,\N,\N,Withheld for privacy,10,66,pt,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,12/03/2019 03:07,3,12/03/2019 03:07,1.90327,4.3.1,en,\N,\N,\N,\N,BR,-400,11/03/2019 22:07,22,7,1,content_based_filtering,standard_QP,yes,no,no,\N,\N,\N,2,0.2857,1
87264,138385,\N,\N,Withheld for privacy,10,71,en,71679527,\N,\N,5,51,330,en,21571299,4,1,digital_library,academic_publication,12/03/2019 07:09,7,12/03/2019 07:09,4.2954099999999995,4.3.1,en,\N,\N,\N,\N,SG,800,12/03/2019 14:09,14,7,2,content_based_filtering,edismax_QP,yes,yes,no,\N,\N,\N,3,0.4286,1
87399,138523,\N,\N,Withheld for privacy,8,57,en,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,digital_library,academic_publication,12/03/2019 09:46,9,12/03/2019 09:46,2.20425,4.3.1,de,\N,\N,\N,\N,DE,100,12/03/2019 09:46,9,7,1,content_based_filtering,standard_QP,yes,no,no,\N,\N,\N,1,0.1429,1
